student_id,age,gender,study_hours,attendance_rate,assignment_score,midterm_score,final_score,internet_access,parent_education,sleep_hours,part_time_job,stress_level,extracurricular,final_grade
1,24,Female,3.06,69.94,82.42,66.39,81.68,No,PhD,7.48,Yes,2,Yes,B
2,21,Male,3.26,65.35,76.87,34.85,83.17,Yes,High School,6.87,Yes,6,No,F
3,22,Female,4.63,76.74,88.63,68.55,58.15,No,Bachelor,7.38,No,7,No,F
4,24,Female,3.42,91.61,66.68,83.5,79.49,Yes,High School,7.69,No,3,Yes,F
5,20,Male,2.15,83.29,73.93,70.08,74.38,Yes,Master,6.01,No,9,Yes,F
6,22,Female,2.35,87.24,84.55,78.58,66.49,No,Master,7.85,Yes,7,Yes,A
7,22,Male,4.81,67.59,96.1,81.26,86.55,Yes,Bachelor,5.9,No,6,Yes,A
8,24,Female,1.96,84.76,63.31,65.74,53.93,Yes,Master,7.57,No,6,No,D
9,19,Female,6.1,72.94,87.81,63.77,89.21,Yes,PhD,5.89,Yes,1,Yes,F
10,20,Male,2.96,93.37,78.82,71.84,61.07,No,High School,8.96,Yes,5,No,B
11,24,Male,4.92,85.17,76.63,72.13,98.72,Yes,Bachelor,7.76,No,3,Yes,D
12,20,Male,3.05,67.95,74.92,70.65,56.92,Yes,PhD,5.44,Yes,7,No,F
13,20,Female,2.63,62.58,61.15,71.14,66.73,Yes,High School,7,Yes,3,Yes,A
14,22,Male,4.37,61.71,84.63,61.02,72.88,Yes,PhD,6.48,Yes,5,Yes,B
15,21,Female,5.58,74.86,67.18,79,72.78,Yes,Bachelor,6.36,No,7,No,D
16,20,Female,3.63,70.63,64.2,77.19,79.36,Yes,Bachelor,7.15,No,3,Yes,B
17,23,Male,3.9,85.84,83.85,53.97,52.71,Yes,PhD,6.07,Yes,2,Yes,F
18,22,Male,5.21,79.97,82.89,65.33,71.44,Yes,High School,7.76,Yes,6,Yes,C
19,19,Female,5.26,70.64,75.79,71.12,74.07,Yes,Master,7.7,Yes,8,Yes,B
20,21,Female,3.94,65.97,85.8,63.59,64.08,Yes,Master,7.35,No,4,Yes,B
21,23,Male,3.33,65.09,89.26,77.65,78.06,Yes,PhD,6.98,Yes,9,No,A
22,23,Male,4.12,94.59,88.08,69.2,51.8,No,Bachelor,7.66,Yes,8,Yes,F
23,19,Male,3.71,69.74,69.72,72.03,67.1,Yes,High School,7.79,No,7,No,B
